97585,50248
97585,51467
98011,51467
98011,52664
97624,52664
97624,53893
97833,53893
97833,55069
97390,55069
97390,56345
97829,56345
97829,57524
97460,57524
97460,58782
97572,58782
97572,59956
97198,59956
97198,61016
96374,61016
96374,62214
96181,62214
96181,63484
96212,63484
96212,64456
95248,64456
95248,65667
95066,65667
95066,67043
95291,67043
95291,68196
94873,68196
94873,69349
94448,69349
94448,70107
93166,70107
93166,71163
92581,71163
92581,72635
92788,72635
92788,73416
91675,73416
91675,74627
91340,74627
91340,75665
90702,75665
90702,76625
89944,76625
89944,77509
89088,77509
89088,78597
88521,78597
88521,79776
88055,79776
88055,80561
87084,80561
87084,81419
86215,81419
86215,82395
85482,82395
85482,83317
84685,83317
84685,84019
83666,84019
83666,84810
82745,84810
82745,85843
82045,85843
82045,86820
81277,86820
81277,87497
80251,87497
80251,88494
79477,88494
79477,88593
78030,88593
78030,89634
77280,89634
77280,89943
76026,89943
76026,90526
74967,90526
74967,91920
74383,91920
74383,91768
72899,91768
72899,92395
71864,92395
71864,93277
70949,93277
70949,93688
69798,93688
69798,94241
68712,94241
68712,94401
67468,94401
67468,95078
66428,95078
66428,95669
65344,95669
65344,95733
64087,95733
64087,96248
62972,96248
62972,96251
61718,96251
61718,96888
60623,96888
60623,97184
59440,97184
59440,97469
58252,97469
58252,97411
57010,97411
57010,97271
55770,97271
55770,97969
54625,97969
54625,97509
53368,97509
53368,97865
52177,97865
52177,98329
50972,98329
50972,97669
49751,97669
49751,98319
48523,98319
48523,97525
47341,97525
47341,98287
46069,98287
46069,97717
44896,97717
44896,97342
43719,97342
43719,97436
42479,97436
42479,97459
41237,97459
41237,96815
40124,96815
40124,96681
38910,96681
38910,96602
37673,96602
37673,96208
36516,96208
36516,96041
35290,96041
35290,95193
34288,95193
34288,95385
32921,95385
32921,94861
31808,94861
31808,94399
30671,94399
30671,93112
29918,93112
29918,92913
28671,92913
28671,92119
27718,92119
27718,91442
26713,91442
26713,90915
25626,90915
25626,90593
24402,90593
24402,90340
23110,90340
23110,89440
22241,89440
22241,88276
21584,88276
21584,88126
20168,88126
20168,87236
19312,87236
19312,86576
18267,86576
18267,85553
17540,85553
17540,84543
16818,84543
16818,84064
15578,84064
15578,82797
15134,82797
15134,82017
14188,82017
14188,81332
13114,81332
13114,80221
12539,80221
12539,79343
11679,79343
11679,78473
10797,78473
10797,77118
10600,77118
10600,76172
9833,76172
9833,75371
8818,75371
8818,74320
8188,74320
8188,73033
7986,73033
7986,72180
6992,72180
6992,70709
7218,70709
7218,69965
5942,69965
5942,68792
5570,68792
5570,67655
5122,67655
5122,66576
4514,66576
4514,65236
4651,65236
4651,64191
3928,64191
3928,62832
4250,62832
4250,61676
3913,61676
3913,60666
2919,60666
2919,59414
2946,59414
2946,58189
2892,58189
2892,56982
2777,56982
2777,55788
2574,55788
2574,54613
2155,54613
2155,53375
2393,53375
2393,52161
2489,52161
2489,50972
1685,50972
1685,50233
94693,50233
94693,48547
2466,48547
2466,47345
2551,47345
2551,46084
1904,46084
1904,44845
1813,44845
